#Temp	LTE cooling per molecule	Net cooling per molecule
5.95662e+03	7.04995e-19	-7.71613e-16
6.30957e+03	7.85618e-19	-1.76182e-15
6.68344e+03	8.71779e-19	-4.35210e-15
7.07946e+03	9.62970e-19	-1.05060e-14
7.49894e+03	1.05850e-18	-2.18473e-14
7.94328e+03	1.15752e-18	-3.68488e-14
8.41395e+03	1.25905e-18	-5.03220e-14
8.91251e+03	1.36206e-18	-6.37672e-14
9.44061e+03	1.46549e-18	-8.12972e-14
1.00000e+04	1.56831e-18	-1.05489e-13
1.05925e+04	1.66956e-18	-1.43844e-13
1.12202e+04	1.76840e-18	-2.15695e-13
1.18850e+04	1.86409e-18	-1.70333e-13
1.25893e+04	1.95603e-18	2.17096e-13
1.33352e+04	2.04370e-18	1.06789e-12
1.41254e+04	2.12671e-18	2.40751e-12
1.49624e+04	2.20471e-18	4.15167e-12
1.58489e+04	2.27741e-18	5.97892e-12
1.67880e+04	2.34450e-18	7.69854e-12
1.77828e+04	2.40567e-18	9.27395e-12
1.88365e+04	2.46054e-18	1.07459e-11
1.99526e+04	2.50867e-18	1.21597e-11
2.11349e+04	2.54957e-18	1.35299e-11
2.23872e+04	2.58267e-18	1.48569e-11
2.37137e+04	2.60735e-18	1.61559e-11
2.51189e+04	2.62304e-18	1.74430e-11
2.66072e+04	2.62916e-18	1.86945e-11
2.81838e+04	2.62527e-18	1.98352e-11
2.98538e+04	2.61110e-18	2.07848e-11
3.16228e+04	2.58660e-18	2.05229e-11
3.34965e+04	2.55196e-18	2.03285e-11
3.54813e+04	2.50767e-18	2.02711e-11
3.75837e+04	2.45449e-18	2.03149e-11
3.98107e+04	2.39343e-18	2.04300e-11
4.21696e+04	2.32569e-18	2.05941e-11
4.46684e+04	2.25258e-18	2.07901e-11
4.73151e+04	2.17549e-18	2.10056e-11
5.01187e+04	2.09578e-18	2.12312e-11
5.30884e+04	2.01474e-18	2.14603e-11
5.62341e+04	1.93353e-18	2.16882e-11
5.95662e+04	1.85318e-18	2.19114e-11
6.30957e+04	1.77453e-18	2.21277e-11
6.68344e+04	1.69825e-18	2.23360e-11
7.07946e+04	1.62485e-18	2.25363e-11
7.49894e+04	1.55472e-18	2.27293e-11
7.94328e+04	1.48808e-18	2.29156e-11
8.41395e+04	1.42506e-18	2.30958e-11
8.91251e+04	1.36570e-18	2.32698e-11
9.44061e+04	1.30997e-18	2.34373e-11
1.00000e+05	1.25780e-18	2.35978e-11
1.05925e+05	1.20906e-18	2.37511e-11
1.12202e+05	1.16360e-18	2.38972e-11
1.18850e+05	1.12125e-18	2.40362e-11
1.25893e+05	1.08185e-18	2.41681e-11
1.33352e+05	1.04521e-18	2.42934e-11
