20061204
2	1	2.60E-01	2.96E-01	3.26E-01	3.39E-01	3.73E-01	4.06E-01	4.36E-01	4.61E-01
3	1	4.29E-01	5.29E-01	8.53E-01	1.15E+00	1.81E+00	2.35E+00	2.81E+00	3.20E+00
4	1	6.51E-02	6.96E-02	7.76E-02	8.13E-02	8.70E-02	9.21E-02	9.66E-02	1.01E-01
4	2	1.38E+00	1.45E+00	2.28E+00	3.09E+00	4.50E+00	5.40E+00	6.03E+00	6.50E+00
4	3	2.04E+00	2.22E+00	2.28E+00	2.35E+00	2.68E+00	3.02E+00	3.34E+00	3.62E+00
5	1	1.12E-01	1.26E-01	1.86E-01	2.43E-01	3.54E-01	4.38E-01	5.07E-01	5.66E-01
5	2	2.46E+00	3.05E+00	5.28E+00	7.74E+00	1.35E+01	1.84E+01	2.24E+01	2.58E+01
5	3	7.26E+00	7.92E+00	1.07E+01	1.33E+01	1.77E+01	2.04E+01	2.23E+01	2.37E+01
6	1	6.21E-02	6.58E-02	7.82E-02	8.97E-02	1.09E-01	1.20E-01	1.26E-01	1.30E-01
6	2	2.09E+00	3.08E+00	6.56E+00	9.38E+00	1.42E+01	1.72E+01	1.93E+01	2.08E+01
6	3	1.32E+01	1.78E+01	3.69E+01	5.58E+01	9.44E+01	1.23E+02	1.46E+02	1.65E+02
7	1	2.23E-02	2.55E-02	3.19E-02	3.40E-02	3.61E-02	3.76E-02	3.90E-02	4.02E-02
7	2	3.92E-01	3.88E-01	5.08E-01	6.38E-01	8.80E-01	1.04E+00	1.16E+00	1.25E+00
7	3	7.36E-01	7.71E-01	7.58E-01	7.42E-01	7.51E-01	7.84E-01	8.21E-01	8.57E-01
7	4	2.62E+00	4.31E+00	1.08E+01	1.54E+01	2.22E+01	2.62E+01	2.88E+01	3.07E+01
7	5	4.07E+00	4.88E+00	7.63E+00	9.79E+00	1.41E+01	1.75E+01	2.03E+01	2.27E+01
7	6	4.21E+00	4.27E+00	4.35E+00	4.56E+00	4.93E+00	5.12E+00	5.23E+00	5.29E+00
8	1	4.03E-02	4.79E-02	7.40E-02	9.46E-02	1.33E-01	1.61E-01	1.84E-01	2.04E-01
